batteryLevel,localTime,modelName,onWrist,hasRecentHeartRate,prediction,predictionScore,timestamp,deviceID,userID,version
75,7/22/25 17:11,Yeti,TRUE,,0,0.31604597,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:12,Yeti,TRUE,,1,0.61626405,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:13,Yeti,TRUE,,0,0.3656784,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:14,Yeti,TRUE,,0,0.24181743,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:15,Yeti,TRUE,,0,0.46070826,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:16,Yeti,TRUE,,0,0.030046273,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:17,Yeti,TRUE,,0,0.13634726,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:18,Yeti,TRUE,,0,0.45672175,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:19,Yeti,TRUE,,0,0.31982788,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:20,Yeti,TRUE,,0,0.17357615,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:21,Yeti,TRUE,,1,0.96102166,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:22,Yeti,TRUE,,1,0.7291709,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:23,Yeti,TRUE,,0,0.100860134,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:24,Yeti,TRUE,,1,0.92213136,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
74,7/22/25 17:25,Yeti,TRUE,,1,0.6818328,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
